Date (CST),Author,Name,Country,State/Region,City/Urban Area
1/24/20 13:35,#NAME?,REAL  TALK  TIME  NEWS,United States of America,,
1/25/20 19:51,#NAME?,ROD ISLAND,United States of America,California,
1/23/20 14:02,#NAME?,䏩 FAST NEWS _���,Poland,Masovian,Warsaw
1/28/20 2:55,#NAME?,    SQUIRT     NEWS,United States of America,,
1/25/20 8:32,#NAME?,΃�,,,
1/24/20 7:40,#NAME?,BALD THOUGHTS,United States of America,Tennessee,Nashville
1/24/20 4:23,#NAME?,POST ONLINE MEDIA,,,
1/27/20 1:23,#NAME?,KAYE RUSSELL,,,
2/4/20 17:58,#NAME?,#STAYINFORMEDCC,United States of America,New Hampshire,
2/4/20 17:58,#NAME?,#STAYINFORMEDCC,United States of America,New Hampshire,
2/4/20 17:58,#NAME?,#STAYINFORMEDCC,United States of America,New Hampshire,
1/31/20 11:15,#NAME?,SHERYL JEAN,United States of America,California,San Francisco
1/30/20 8:44,#NAME?,INFORMATIONDEPATNENTLEH,,,
2/3/20 7:45,#NAME?,RICHARD LAING,United Kingdom,West Midlands,Birmingham
2/1/20 12:38,#NAME?,ALY-KHAN     SATCHU,Kenya,Nairobi,Nairobi
2/2/20 20:26,#NAME?,LIBERIANOBSERVER.COM,Liberia,Montserrado,Monrovia
2/3/20 21:30,#NAME?,CHRIS HUMPHREY,Vietnam,ې��ng B�_�c,Hanoi
1/23/20 22:59,#NAME?,MICHAEL MATTHEW,,,
2/7/20 5:19,#NAME?,CORONAVIRUS LIVE UPDATES,,,
2/3/20 18:50,#NAME?,ASIAN NETWALKING MEDIA    ,,,
1/28/20 22:38,#NAME?,DEEKSHA TALWAR,,,
1/27/20 15:25,#NAME?,ELENA NOEMI B,,,
1/29/20 22:00,#NAME?,MOH MAKKI,Canada,Ontario,
1/24/20 21:48,#NAME?,DIMAPUR TODAY,India,Nagaland,
1/25/20 6:25,#NAME?,CONNECTOSH,India,,
1/23/20 10:55,#NAME?,THE EUROZONER,,,
1/25/20 1:21,#NAME?,JOSH LENDBERG    ,,,
2/1/20 9:57,#NAME?,#NAME?,United States of America,California,
1/27/20 22:01,#NAME?,NATASHA KORNAK,Canada,Alberta,Edmonton
2/1/20 20:08,#NAME?,MA PRIYAMAYA,Malaysia,Kuala Lumpur,Kuala Lumpur
1/25/20 8:49,#NAME?,"PETER CADDICK-ADAMS, PHD, FRHISTS, FRGS",Zimbabwe,,
1/12/20 15:41,#NAME?,DELILAH L. VERONESE,United States of America,,
1/25/20 22:52,#NAME?,NISEU,Indonesia,,
1/28/20 15:12,#NAME?,_��_��_MARK PLACKETT ��,,,
2/7/20 2:59,#NAME?,LYNN,United States of America,,
2/5/20 5:48,#NAME?,ED COX,United Kingdom,Greater London,London
2/7/20 17:58,#NAME?,CRUDE OIL TRADE,United States of America,New York,New York
1/27/20 17:00,#NAME?,REACTION SEEKER,,,
2/3/20 18:10,#NAME?,CHRISTOPHER� CARTI��R _��_,United States of America,Tennessee,Nashville
2/3/20 9:46,#NAME?,DENNIS CAMBLY,Canada,Alberta,Edmonton
2/7/20 18:48,#NAME?,CORONAVIRUS NEWS,,,
2/4/20 16:24,#NAME?,CORONAVIRUS OUTBREAK MAP .COM,United States of America,,
1/9/20 21:04,#NAME?,KRISTIE LU STOUT���_�_,Hong Kong S.A.R.,Kowloon City,Hong Kong
2/6/20 16:06,#NAME?,"20 8-CAR TRAINS PER HOUR, 19 HOURS/DAY, EVERY DAY",United States of America,District of Columbia,"Washington, D.C."
1/20/20 16:44,#NAME?,CZARINA,,,
1/22/20 4:25,#NAME?,JIM4TRUMPPENCE2020 _�__�,United States of America,Arizona,
2/7/20 2:21,#NAME?,STOYANKA STAIKOVA,Bulgaria,Varna,Varna
1/23/20 9:40,#NAME?,SERGII KHARCHENKO,,,
1/29/20 10:59,#NAME?,LOTUS LAW CENTER,United States of America,California,San Diego
